codigo;nome;categoria;Energia (kcal);Carboidrato disponível (g);Proteína (g);Lipídios (g);Fibra alimentar (g);Ácidos graxos saturados (g);Ácidos graxos trans (g);Sódio (mg);Açúcar de adição (g);Alfa-tocoferol (Vitamina E) (mg);Carboidrato total (g);Cinzas (g);Cobre (mg);Colesterol (g);Colesterol (mg);Cálcio (mg);Energia (kJ);Equivalente de folato (mcg);Ferro (mg);Fósforo (mg);Magnésio (mg);Niacina (mg);Potássio (mg);Riboflavina (mg);Sal de adição (g);Selênio (mcg);Tiamina (mg);Umidade (g);Vitamina A (RAE) (mcg);Vitamina A (RE) (mcg);Vitamina B12 (mcg);Vitamina B6 (mg);Vitamina C (mg);Vitamina D (mcg);Zinco (mg);Ácidos graxos monoinsaturados (g);Ácidos graxos poliinsaturados (g);Álcool (g)
C0049C;Caju, polpa, in natura, Anacardium occidentale L.,;Frutas e derivados;43.00;7.80;0.77;0.49;2.34;;0.00;2.92;0.00;;10.10;0.30;0.07;;0.00;1.39;182.00;;0.15;15.40;9.94;0.00;121.00;0.00;0.00;;0.00;88.30;8.69;17.40;0.00;0.00;257.00;0.00;0.09;;;0.00
C0050C;Caju, suco, concentrado, envasado,;Frutas e derivados;45.00;10.10;0.40;0.20;0.63;;0.00;38.40;0.00;;10.70;0.29;0.04;;0.00;0.80;191.00;;0.19;10.20;8.62;0.00;108.00;0.03;0.00;;0.00;88.40;6.95;13.90;0.00;0.00;161.00;0.00;0.09;;;0.00
C0073C;Cajá, polpa, congelada,;Frutas e derivados;27.00;5.01;0.59;0.17;1.36;;0.00;6.95;0.00;;6.37;0.42;0.10;;0.00;9.16;112.00;;0.32;25.70;7.17;0.00;148.00;0.00;0.00;;0.04;92.40;53.00;106.00;0.00;0.00;0.00;0.00;0.05;;;0.00
C0072C;Cajá-Manga, in natura, Spondias dulcis,;Frutas e derivados;46.00;8.87;1.28;0.00;2.58;;0.00;1.44;0.00;;11.40;0.38;0.02;;0.00;12.70;193.00;;0.15;24.50;11.30;0.00;119.00;0.00;0.00;;0.11;86.90;;;0.00;0.05;26.70;0.00;0.18;;;0.00
C0259E;Camarão, Pitu, in natura, Macrobrachium wiegman,;Pescados e Frutos do mar;108.00;0.00;23.60;1.58;;0.50;;;0.00;;0.00;1.31;;;102.00;;459.00;;;;;;;;0.00;;;73.60;;;;;;;;0.38;0.52;0.00
C0292C;Camu-camu, in natura, Myrciaria dubia,;Frutas e derivados;30.00;6.34;0.45;0.20;0.57;0.06;0.00;0.33;0.00;;6.91;0.28;0.02;0.00;;8.40;127.00;5.29;0.50;0.06;2.60;0.00;144.00;0.03;0.00;0.40;0.06;92.20;;;;0.03;8.71;;0.20;0.04;0.03;0.00
C0008H;Cana, caldo (garapa), Saccharum officinarum,;Bebidas;73.00;18.20;0.00;0.00;0.14;;;22.70;;0.00;18.30;0.27;0.01;;0.00;29.40;310.00;0.00;0.80;6.66;15.70;0.00;52.70;0.00;;0.18;0.00;81.40;0.00;0.00;0.00;0.03;2.78;0.00;0.06;;;0.00
C0778B;Canela, em pó, Cinnamomum aromaticum,;Vegetais e derivados;243.00;27.50;3.99;1.24;53.10;0.35;0.00;10.00;0.00;2.32;80.60;3.60;0.40;;0.00;1002.00;1006.00;6.00;8.32;64.00;60.00;1.33;431.00;0.04;0.00;3.10;0.02;10.60;15.00;;0.00;0.16;3.80;0.00;1.83;0.25;0.07;0.00
C0012F;Carne, avestruz, apex, cru, Struthio camelus African Black,;Carnes e derivados;146.00;1.47;30.90;1.82;0.00;0.68;;100.00;0.00;0.16;1.47;1.50;0.46;;57.00;5.20;617.00;12.00;10.70;92.20;9.80;7.07;126.00;0.43;0.00;;0.29;64.30;0.00;;7.44;0.77;0.00;;17.80;0.63;0.36;0.00
C0013F;Carne, avestruz, coxa externa, crua, Struthio camelus African Black,;Carnes e derivados;144.00;1.03;30.80;1.91;0.00;0.59;;129.00;0.00;0.19;1.03;1.48;0.52;;63.30;5.40;611.00;11.50;14.20;89.40;10.00;7.13;122.00;0.44;0.00;;0.30;64.80;0.00;;7.51;0.77;0.00;;15.20;0.57;0.42;0.00
C0014F;Carne, avestruz, coxa interna, crua, Struthio camelus African Black,;Carnes e derivados;130.00;0.61;29.10;1.25;0.00;0.44;;97.30;0.00;0.15;0.61;1.48;0.46;;48.20;5.80;552.00;10.80;11.60;91.60;9.40;6.55;132.00;0.40;0.00;;0.27;67.50;0.00;;6.89;0.71;0.00;;15.60;0.44;0.28;0.00
C0011F;Carne, avestruz, crua (média de diferentes cortes), Struthio camelus African Black,;Carnes e derivados;141.00;0.71;30.00;2.00;0.00;0.64;;100.00;0.00;0.15;0.71;1.52;0.51;;51.00;5.27;597.00;11.90;12.30;89.80;9.70;6.80;124.00;0.41;0.00;;0.28;65.70;0.00;0.00;7.16;0.74;0.00;;12.20;0.82;0.41;0.00
C0015F;Carne, avestruz, filet mingon, crua, Struthio camelus African Black,;Carnes e derivados;153.00;1.91;27.80;3.83;0.00;1.23;;102.00;0.00;0.28;1.91;1.29;0.70;;97.40;4.20;647.00;12.10;13.20;87.60;9.40;6.92;110.00;0.42;0.00;;0.29;65.10;0.00;;7.29;0.75;0.00;;4.58;1.57;0.79;0.00
C0016F;Carne, avestruz, leque, crua, Struthio camelus African Black,;Carnes e derivados;137.00;0.40;30.10;1.63;0.00;0.58;;109.00;0.00;0.12;0.40;1.67;0.42;;44.90;5.40;578.00;11.70;12.00;89.00;9.80;6.91;130.00;0.42;0.00;;0.29;66.20;0.00;;7.27;0.75;0.00;;8.24;0.58;0.31;0.00
C0017F;Carne, avestruz, redondo, crua, Struthio camelus African Black,;Carnes e derivados;141.00;0.74;29.20;2.35;0.00;0.59;;84.40;0.00;0.06;0.74;1.58;0.48;;19.20;5.60;596.00;8.20;11.80;89.20;9.80;5.13;126.00;0.31;0.00;;0.21;66.10;0.00;;5.40;0.56;0.00;;11.60;0.72;0.25;0.00
C0053F;Carne, boi, acém, crua, Bos taurus,;Carnes e derivados;132.00;1.38;19.40;5.45;0.00;2.75;0.14;49.20;0.00;0.12;1.38;0.94;0.06;;55.70;3.66;556.00;2.74;1.64;150.00;13.70;3.33;235.00;0.17;0.00;;0.14;72.80;2.25;2.25;2.81;0.02;0.00;0.07;5.77;2.35;0.15;0.00
C0054F;Carne, boi, acém, moída, crua, Bos taurus,;Carnes e derivados;132.00;0.00;19.40;5.45;0.00;2.75;0.14;49.20;0.00;0.12;0.00;0.94;0.06;;55.70;3.66;532.00;2.74;1.64;150.00;13.70;3.33;235.00;0.17;0.00;3.39;0.14;72.80;2.25;2.25;2.81;0.02;0.00;0.07;5.77;2.35;0.15;0.00
C0055F;Carne, boi, alcatra, crua (média de amostras frescas, resfriada, congelada), Bos taurus,;Carnes e derivados;134.00;0.01;23.50;4.47;0.00;1.94;0.10;43.10;0.00;0.24;0.01;1.04;0.03;;34.50;3.19;565.00;;1.97;165.00;20.00;3.59;298.00;0.07;0.00;2.56;0.12;71.00;3.52;3.52;2.24;0.00;0.00;0.07;2.96;1.89;0.06;0.00
C0056F;Carne, boi, bucho, cru, Bos taurus,;Carnes e derivados;132.00;0.00;20.50;5.50;0.00;3.30;0.08;45.00;0.00;;0.00;0.37;0.06;;144.00;9.07;553.00;;0.47;61.40;6.40;2.13;84.60;0.00;0.00;;0.00;75.00;0.00;0.00;;0.00;;;2.13;1.40;0.10;0.00
C0058F;Carne, boi, capa de contra-filé, s/ gordura, crua, Bos taurus,;Carnes e derivados;126.00;0.14;21.50;4.33;0.00;1.90;0.06;79.20;0.00;;0.14;1.00;0.06;;58.30;6.50;529.00;2.48;2.04;178.00;19.60;1.81;325.00;0.04;0.00;;0.00;73.00;0.00;0.00;2.45;0.00;0.00;0.04;4.59;1.90;0.10;0.00
C0059F;Carne, boi, contra-filé, crua (média de várias amostras), Bos taurus,;Carnes e derivados;192.00;0.00;20.70;12.20;0.00;5.00;0.18;45.20;0.00;0.61;0.00;0.90;0.04;;61.50;3.68;800.00;;1.52;170.00;17.60;3.70;288.00;0.12;0.00;9.70;0.08;66.20;2.21;2.21;0.81;0.01;0.00;0.35;3.46;4.23;0.13;0.00
C0061F;Carne, boi, contra-filé, s/ gordura, crua (média de várias amostras), Bos taurus,;Carnes e derivados;153.00;0.87;24.00;6.00;0.00;2.70;0.09;52.90;0.00;0.30;0.87;0.99;0.05;;59.50;4.20;645.00;;1.68;183.00;20.60;4.64;334.00;0.20;0.00;9.70;0.00;68.10;0.00;0.00;0.76;0.00;0.00;0.17;3.36;2.60;0.10;0.00
C0062F;Carne, boi, costela, crua, Bos taurus,;Carnes e derivados;353.00;0.00;16.70;31.80;0.00;14.90;0.91;70.00;0.00;1.56;0.00;0.90;0.00;;44.00;;1461.00;21.00;1.20;130.00;12.00;5.99;151.00;0.11;0.00;5.70;0.12;52.70;5.00;5.00;2.00;0.00;0.00;0.54;2.70;12.70;0.30;0.00
C0063F;Carne, boi, coxão duro (chã de fora), crua, Bos taurus,;Carnes e derivados;133.00;0.99;21.70;4.76;0.00;2.86;0.14;48.50;0.00;0.32;0.99;1.05;0.05;;60.00;2.95;561.00;;1.89;188.00;21.10;4.38;357.00;0.20;0.00;2.87;0.12;71.60;2.07;2.07;2.78;0.00;0.00;0.00;2.81;2.40;0.10;0.00
C0064F;Carne, boi, coxão mole (polpa, chã de dentro), s/ gordura, crua, Bos taurus,;Carnes e derivados;143.00;0.01;20.40;6.76;0.00;3.90;0.14;60.50;0.00;0.17;0.01;1.05;0.05;;83.80;2.99;597.00;7.32;1.89;175.00;20.70;2.32;334.00;0.19;0.00;2.82;0.12;71.80;2.61;2.61;3.31;0.00;0.00;;2.63;3.70;0.10;0.00
C0051F;Carne, boi, cupim, cru, Bos taurus,;Carnes e derivados;214.00;0.00;19.40;15.20;0.00;6.80;0.33;46.90;0.00;;0.00;0.88;0.03;;51.00;3.57;892.00;;1.13;220.00;12.80;3.33;150.00;0.05;0.00;;0.11;64.50;2.70;2.70;;0.03;;;2.42;6.40;0.20;0.00
C0065F;Carne, boi, filé mignon, s/ gordura, cru, Bos taurus,;Carnes e derivados;137.00;0.02;21.60;5.61;0.00;2.90;0.11;48.90;0.00;0.22;0.02;1.07;0.08;;54.80;2.93;575.00;4.11;1.92;192.00;21.40;1.78;321.00;0.10;0.00;5.20;0.12;71.70;3.63;3.63;3.63;0.04;0.00;0.10;2.91;1.90;0.20;0.00
C0066F;Carne, boi, flanco, s/ gordura, cru, Bos taurus,;Carnes e derivados;139.00;0.75;20.00;6.22;0.00;3.10;0.13;54.20;0.00;0.25;0.75;0.97;0.05;;50.30;2.81;583.00;11.00;1.58;166.00;17.80;3.28;324.00;0.16;0.00;;0.11;72.10;2.02;2.02;1.08;0.00;0.00;0.07;4.45;2.30;0.10;0.00
C0052F;Carne, boi, fígado, crua, Bos taurus,;Carnes e derivados;136.00;5.54;16.40;5.35;0.00;2.79;0.21;75.90;0.00;0.56;5.54;1.43;9.01;;392.00;4.73;571.00;285.00;5.63;334.00;18.60;10.70;264.00;0.90;0.00;7.30;0.14;71.30;7936.00;7936.00;58.30;0.00;1.28;1.77;3.98;1.50;0.10;0.00
C0068F;Carne, boi, lagarto, crua (média diferentes amostras frescas, resfriadas, congeladas), Bos taurus,;Carnes e derivados;128.00;0.97;20.90;4.51;0.00;2.30;0.08;53.60;0.00;0.31;0.97;1.06;0.03;;55.80;2.59;539.00;4.08;1.32;184.00;19.70;2.19;361.00;0.14;0.00;;0.10;72.50;1.99;1.99;1.87;0.03;0.00;0.00;2.39;2.30;0.10;0.00
C0069F;Carne, boi, língua, crua, Bos taurus,;Carnes e derivados;216.00;1.34;17.10;15.80;0.00;6.80;0.30;73.10;0.00;;1.34;0.78;0.09;;117.00;5.04;897.00;6.90;1.70;163.00;15.30;1.18;250.00;0.04;0.00;;0.05;65.00;0.00;0.00;3.74;0.00;3.06;;2.87;6.80;0.30;0.00
C0070F;Carne, boi, maminha, crua, Bos taurus,;Carnes e derivados;144.00;0.67;21.00;6.31;0.00;3.10;0.09;37.40;0.00;0.33;0.67;1.01;0.03;;50.80;2.83;602.00;;1.15;181.00;15.70;4.27;273.00;0.08;0.00;;0.12;71.00;3.18;3.18;2.24;0.03;0.00;0.10;3.48;3.10;0.10;0.00
C0071F;Carne, boi, moída, s/ gordura, crua, Bos taurus,;Carnes e derivados;145.00;0.00;19.30;7.56;0.00;3.03;0.14;66.10;0.00;1.04;0.00;0.93;0.05;;70.10;3.64;609.00;;1.86;162.00;17.50;2.79;295.00;0.19;0.00;2.24;0.09;72.20;1.91;1.91;1.65;0.04;0.00;0.00;3.65;3.58;0.14;0.00
C0072F;Carne, boi, músculo, s/ gordura, cru, Bos taurus,;Carnes e derivados;137.00;0.00;20.70;6.06;0.00;2.43;0.11;66.10;0.00;0.84;0.00;0.96;0.05;;56.30;3.64;576.00;;1.86;162.00;17.50;2.79;295.00;0.19;0.00;2.24;0.09;72.30;1.91;1.91;1.65;0.04;0.00;0.00;3.65;2.87;0.11;0.00
C0074F;Carne, boi, paleta, s/ gordura, crua, Bos taurus,;Carnes e derivados;136.00;0.24;21.00;5.67;0.00;2.70;0.18;65.90;0.00;0.08;0.24;0.98;0.05;;42.30;3.62;571.00;7.20;1.93;163.00;17.50;2.67;319.00;0.21;0.00;;0.13;72.10;3.27;3.27;4.10;0.00;0.00;;3.34;2.10;0.10;0.00
C0075F;Carne, boi, patinho, crua (média de várias amostras), Bos taurus,;Carnes e derivados;115.00;0.30;21.00;3.33;0.00;1.48;0.06;49.10;0.00;0.12;0.30;1.05;0.05;;41.10;3.45;486.00;6.66;1.78;170.00;21.20;3.61;317.00;0.08;0.00;2.22;0.11;74.30;1.51;1.51;3.02;0.00;0.00;;4.30;1.40;0.15;0.00
C0076F;Carne, boi, peito, s/ gordura, crua, Bos taurus,;Carnes e derivados;254.00;0.00;17.60;20.40;0.00;8.20;0.58;63.80;0.00;0.89;0.00;0.85;0.06;;59.30;3.94;1054.00;9.14;1.31;124.00;15.30;3.91;241.00;0.07;0.00;;0.11;61.20;4.25;4.25;3.17;0.00;0.00;;2.63;9.20;0.50;0.00
C0077F;Carne, boi, picanha, crua (média de várias amostras), Bos taurus,;Carnes e derivados;160.00;0.56;20.20;8.58;0.00;4.05;0.14;49.40;0.00;0.41;0.56;0.98;0.07;;67.40;2.90;670.00;;1.92;174.00;17.20;3.33;277.00;0.10;0.00;;0.07;69.70;1.73;1.73;2.30;0.00;0.00;0.13;4.00;4.40;0.20;0.00
C0078F;Carne, boi, ponta de agulha, crua, Bos taurus,;Carnes e derivados;169.00;0.00;19.70;10.00;0.00;4.27;0.31;49.80;0.00;0.00;0.00;1.11;0.05;;34.20;15.20;705.00;3.01;1.48;97.00;10.60;0.30;146.00;0.05;0.00;;0.00;69.20;0.00;0.00;3.44;0.19;0.00;;2.95;4.37;0.11;0.00
C0049F;Carne, boi, quarto dianteiro, crua (média de diferentes cortes), Bos taurus,;Carnes e derivados;149.00;0.07;19.70;7.79;0.00;3.37;0.21;65.20;0.00;0.16;0.07;0.98;0.06;;49.10;3.89;625.00;2.81;1.80;151.00;16.10;2.57;276.00;0.13;0.00;2.24;0.08;71.40;2.36;2.36;0.00;0.02;0.00;0.09;3.32;3.28;0.18;0.00
C0050F;Carne, boi, quarto traseiro, crua (média de diferentes cortes), Bos taurus,;Carnes e derivados;155.00;0.19;21.00;7.82;0.00;3.65;0.16;52.20;0.00;0.33;0.19;0.99;0.04;;47.50;3.50;649.00;7.84;1.65;168.00;18.40;3.30;295.00;0.11;0.00;3.58;0.11;70.10;2.56;2.56;3.44;0.02;0.00;;3.47;3.28;0.12;0.00
C0081F;Carne, boi, salgada, crua (média várias amostras: charque, seca, jerked beef), Bos taurus,;Carnes e derivados;273.00;0.00;22.30;20.40;0.00;9.70;0.80;4439.00;;3.99;0.00;15.30;0.00;;85.20;14.10;1133.00;12.60;1.33;100.00;12.20;2.83;190.00;0.07;;;0.00;42.00;0.00;0.00;2.00;0.00;0.00;0.00;3.65;7.50;0.20;0.00
C0082F;Carne, boi, salgada, dessalgada, crua, Bos taurus,;Carnes e derivados;188.00;0.15;19.10;12.30;0.00;6.04;0.40;2893.00;;2.41;0.15;6.27;0.00;;55.20;9.20;782.00;8.18;0.87;65.20;7.97;1.85;123.00;0.05;;;0.00;62.20;0.00;0.00;1.30;0.00;0.00;0.00;2.38;4.92;0.18;0.00
C0879F;Carne, bovina, em conserva,;Carnes e derivados;97.00;6.95;4.41;5.53;0.90;2.19;;388.00;;0.27;7.85;1.43;0.14;;13.00;12.00;405.00;14.00;2.48;42.00;8.00;1.10;163.00;0.05;;4.70;0.07;80.80;11.00;0.00;0.50;0.09;0.70;0.00;1.00;2.54;0.25;0.00
C0856F;Carne, bovina, rosbife, fatiado,;Carnes e derivados;110.00;0.64;18.60;3.69;0.00;1.32;0.15;853.00;;0.49;0.64;3.33;0.09;;51.00;5.00;464.00;5.00;2.05;242.00;20.00;5.58;647.00;0.21;;14.70;0.04;73.70;3.00;0.00;2.04;0.46;0.00;0.00;3.20;1.52;0.27;0.00
C0087F;Carne, búfalo, alcatra, crua, Bubalis bubalis Murrah,;Carnes e derivados;106.00;0.04;21.50;2.20;0.00;0.42;;55.60;0.00;;0.04;1.14;0.00;;83.00;12.60;447.00;8.39;1.69;206.00;33.60;;311.00;0.21;0.00;;0.04;75.20;0.00;0.00;1.74;0.56;0.00;;2.02;0.29;0.21;0.00
C0252F;Carne, búfalo, coxão mole, crua, Bubalis bubalis Murrah,;Carnes e derivados;103.00;0.00;20.90;2.18;0.00;0.38;;54.10;0.00;;0.00;1.20;0.00;;86.70;12.30;435.00;8.17;1.64;201.00;32.70;;303.00;0.20;0.00;;0.04;75.80;0.00;0.00;1.70;0.54;0.00;;1.97;0.28;0.23;0.00
C0086F;Carne, búfalo, crua (média de diferentes cortes), Bubalis bubalis Murrah,;Carnes e derivados;104.00;0.00;21.30;2.07;0.00;0.40;;54.70;0.00;;0.00;1.14;0.00;;82.90;12.40;438.00;8.25;1.66;203.00;33.00;;306.00;0.21;0.00;;0.04;75.60;0.00;0.00;1.71;0.55;0.00;;1.99;0.29;0.22;0.00
C0088F;Carne, búfalo, lombo, crua, Bubalis bubalis Murrah,;Carnes e derivados;101.00;0.00;21.20;1.83;0.00;0.41;;53.90;0.00;;0.00;1.08;0.00;;79.00;12.20;428.00;8.14;1.64;200.00;32.50;;302.00;0.20;0.00;;0.04;75.90;0.00;0.00;1.69;0.54;0.00;;1.96;0.29;0.21;0.00
C0090F;Carne, cabrito, costela, crua, Capra hirbus,;Carnes e derivados;143.00;1.67;19.60;6.41;0.00;1.97;;78.70;0.00;0.72;1.67;1.09;;;158.00;7.20;599.00;4.52;1.02;198.00;22.50;3.57;318.00;0.55;0.00;;0.08;71.30;0.00;0.00;1.08;0.00;0.00;0.00;4.77;2.88;0.49;0.00
C0796F;Carne, cabrito, crua (média de diferentes cortes e raças), Capra ssp,;Carnes e derivados;113.00;0.00;19.60;3.83;0.00;1.18;;69.10;0.00;;0.00;1.20;0.27;;94.50;6.88;475.00;5.24;0.36;173.00;19.70;3.93;279.00;0.51;0.00;9.22;0.12;74.70;0.00;0.00;1.18;;0.00;;4.19;1.71;0.28;0.00
C0089F;Carne, cabrito, crua (média de diferentes cortes), Capra hirbus,;Carnes e derivados;120.00;0.09;19.30;4.69;0.00;1.44;;69.10;0.00;0.53;0.09;1.17;;;116.00;6.32;503.00;3.97;0.89;174.00;19.70;3.13;279.00;0.48;0.00;;0.07;74.80;0.00;0.00;0.94;0.00;0.00;0.00;4.18;2.11;0.36;0.00
C0091F;Carne, cabrito, lombo, crua (média de diferentes amostras), Capra hirbus,;Carnes e derivados;140.00;0.93;20.00;6.21;0.00;1.91;;77.30;0.00;0.70;0.93;1.03;;;153.00;7.06;586.00;4.44;1.00;195.00;22.10;3.51;312.00;0.54;0.00;;0.08;71.80;0.00;0.00;1.06;0.00;0.00;0.00;4.68;2.79;0.47;0.00
C0092F;Carne, cabrito, mamão, crua (média de diferentes amostras), Capra hirbus,;Carnes e derivados;84.00;0.86;17.50;1.16;0.00;0.36;;69.10;0.00;0.13;0.86;1.63;;;28.70;6.88;311.00;3.32;0.36;173.00;19.70;2.62;279.00;0.41;0.00;;0.06;78.90;0.00;0.00;0.79;0.00;0.00;;3.50;0.52;0.09;0.00
C0093F;Carne, cabrito, paleta, crua (média de diferentes amostras), Capra hirbus,;Carnes e derivados;126.00;0.63;20.30;4.68;0.00;1.44;;73.00;0.00;0.53;0.63;1.07;;;115.00;6.68;529.00;4.19;0.94;184.00;20.90;3.31;295.00;0.51;0.00;;0.08;73.30;0.00;0.00;1.00;0.00;0.00;0.00;4.42;2.10;0.36;0.00
C0094F;Carne, cabrito, perna, crua (média de diferentes amostras), Capra hirbus,;Carnes e derivados;109.00;0.00;21.30;2.69;0.00;0.83;;68.50;0.00;0.30;0.00;1.06;;;66.60;6.26;461.00;3.93;0.88;172.00;19.60;3.11;276.00;0.48;0.00;;0.07;75.00;0.00;0.00;0.94;0.00;0.00;0.00;4.14;1.21;0.20;0.00
C0096F;Carne, cabrito, pernil e paleta, crua (média de diferentes amostras), Capra hirbus,;Carnes e derivados;108.00;0.00;20.50;2.85;0.00;0.87;;66.50;0.00;0.32;0.00;0.94;;;70.50;4.63;454.00;3.82;2.48;175.00;19.00;3.02;269.00;0.47;0.00;;0.07;75.70;0.00;0.00;0.91;0.00;0.00;0.00;4.03;1.28;0.22;0.00
C0095F;Carne, cabrito, pescoço, crua (média de diferentes amostras), Capra hirbus,;Carnes e derivados;131.00;1.14;20.50;4.98;0.00;1.53;;75.70;0.00;0.56;1.14;1.06;;;123.00;6.92;552.00;4.35;0.98;191.00;21.60;3.44;306.00;0.53;0.00;;0.08;72.30;0.00;0.00;1.04;0.00;0.00;0.00;4.58;2.24;0.38;0.00
C0567F;Carne, caça (esquilo), crua, Sciuridae,;Carnes e derivados;114.00;0.00;21.20;3.21;0.00;0.38;;103.00;0.00;;0.00;1.16;;;83.00;2.00;480.00;;4.70;172.00;24.00;4.00;304.00;0.21;0.00;9.30;0.07;74.40;0.00;0.00;;;0.00;;;1.18;0.94;0.00
C1046F;Carne, caça, crua (média de 8 espécies),;Carnes e derivados;105.00;0.71;21.20;1.90;0.00;0.61;;18.50;0.00;0.31;0.71;0.74;0.08;60.00;;12.10;443.00;3.12;0.88;59.80;7.89;1.53;101.00;0.07;0.00;3.93;0.06;75.40;13.30;13.30;1.20;0.08;0.00;;0.51;0.60;0.35;0.00
C0097F;Carne, coelho, selecta, crua (média de diferentes cortes), Lepus cuniculus,;Carnes e derivados;117.00;1.52;18.50;4.06;0.00;1.21;;38.00;0.00;;1.52;1.12;;;41.70;12.10;491.00;7.42;1.46;197.00;17.60;;305.00;0.14;0.00;;0.09;74.80;0.00;0.00;6.64;0.46;0.00;;1.46;1.10;0.79;0.00
C0571F;Carne, crocodilo, rabo, crua, Crocodylus spp.,;Carnes e derivados;104.00;0.00;22.50;1.60;0.00;0.50;;51.00;0.00;;0.00;1.00;;;72.00;6.00;442.00;;0.00;195.00;22.00;3.76;;;0.00;;;74.90;;;;;;;;0.64;0.40;0.00
C0119F;Carne, frango, coração, crua, Gallus gallus,;Carnes e derivados;190.00;0.00;12.10;15.70;0.00;4.13;0.08;88.00;0.00;0.00;0.00;0.82;0.18;;134.00;5.10;787.00;78.10;3.79;179.00;18.40;3.14;203.00;0.32;0.00;4.66;0.21;71.30;7.92;7.92;8.00;;3.47;0.00;2.01;5.32;2.87;0.00
C0120F;Carne, frango, coração, crua, Gallus gallus,Seara,;Carnes e derivados;156.00;0.00;13.00;11.50;0.00;3.03;0.06;78.40;0.00;0.00;0.00;1.03;0.16;;98.50;4.54;647.00;69.50;3.38;159.00;16.40;2.79;181.00;0.29;0.00;;0.19;74.50;5.80;5.80;7.04;0.00;3.09;;1.66;3.90;2.10;0.00
C0125F;Carne, frango, coxa e sobrecoxa, s/ pele, crua, Gallus gallus,;Carnes e derivados;138.00;0.00;17.50;7.50;0.00;2.34;0.02;76.40;0.00;0.37;0.00;1.16;0.05;;65.60;6.03;575.00;10.90;0.87;179.00;25.20;3.89;231.00;0.06;0.00;;0.11;73.80;3.06;3.06;0.39;0.00;3.38;;1.60;3.51;1.25;0.00
C0124F;Carne, frango, coxa e sobrecoxa, s/ pele, crua, Gallus gallus,;Carnes e derivados;136.00;0.00;17.60;7.33;0.00;2.30;0.02;89.10;0.00;0.32;0.00;0.98;0.04;;87.30;7.13;570.00;4.35;0.84;191.00;26.80;3.80;266.00;0.05;0.00;;0.14;74.10;7.79;7.79;0.66;0.00;0.00;0.00;1.96;3.30;1.20;0.00
C0123F;Carne, frango, coxa, s/ pele, crua, Gallus gallus,;Carnes e derivados;115.00;0.02;17.80;4.86;0.00;1.60;0.01;98.40;0.00;0.21;0.02;0.89;0.03;;90.60;7.97;483.00;4.00;0.78;196.00;27.20;3.53;291.00;0.05;0.00;;0.17;76.40;11.70;11.70;0.57;0.00;0.00;0.00;2.24;2.10;0.80;0.00
C0118F;Carne, frango, crua (média de diferentes cortes), Gallus gallus,;Carnes e derivados;152.00;0.81;18.70;8.21;0.00;2.54;0.03;76.90;0.00;0.67;0.81;0.93;0.03;;69.20;7.50;635.00;;0.63;186.00;25.40;3.40;242.00;0.05;0.00;9.10;0.11;71.40;6.58;6.58;0.00;0.00;0.00;0.00;1.35;3.62;1.71;0.00
C0128F;Carne, frango, fígado, crua, Gallus gallus,;Carnes e derivados;113.00;1.61;17.40;4.13;0.00;1.30;0.01;82.40;0.00;0.50;1.61;1.23;0.26;;340.00;5.86;476.00;608.00;9.54;343.00;23.20;6.36;280.00;0.56;0.00;44.00;0.62;75.60;3863.00;3863.00;17.20;0.00;18.50;0.00;3.33;0.70;0.60;0.00
C0130F;Carne, frango, inteiro, s/ pele, crua, Gallus gallus,;Carnes e derivados;122.00;0.00;20.40;4.57;0.00;1.40;0.01;73.00;0.00;0.17;0.00;0.93;0.03;;78.20;6.52;516.00;6.59;0.54;190.00;27.00;3.28;237.00;0.03;0.00;;0.12;74.20;3.67;3.67;0.36;0.00;3.11;;1.24;1.90;1.00;0.00
C1020F;Carne, frango, miúdos, cru (média de cortes - coração, fígado e moela), Gallus gallus domesticus,;Carnes e derivados;128.00;0.54;16.50;6.79;0.00;1.94;0.03;83.00;0.00;0.34;0.54;0.90;0.23;200.00;;7.51;534.00;230.00;5.60;235.00;21.40;4.63;251.00;0.39;0.00;24.30;0.30;75.30;1529.00;1531.00;8.77;0.11;0.00;;2.71;2.09;1.23;0.00
C0131F;Carne, frango, moela, crua, Gallus gallus,;Carnes e derivados;85.00;0.00;20.00;0.56;0.00;0.14;0.02;70.80;0.00;0.09;0.00;0.66;;;65.20;11.30;361.00;5.13;2.55;151.00;15.40;3.77;243.00;0.24;0.00;;0.03;78.80;5.17;5.17;1.24;0.11;3.79;;2.79;0.14;0.10;0.00
C0134F;Carne, frango, peito, filé, crua, Gallus gallus,Seara,;Carnes e derivados;102.00;0.00;21.00;2.00;0.00;0.73;0.01;53.60;0.00;0.04;0.00;1.06;0.03;;38.90;7.03;431.00;4.87;0.41;211.00;29.80;5.59;254.00;0.00;0.00;;0.10;75.90;1.32;1.32;0.20;0.00;0.00;;0.63;0.86;0.00;0.00
C0133F;Carne, frango, peito, s/ pele, crua, Gallus gallus,;Carnes e derivados;105.00;0.00;21.10;2.29;0.00;0.83;0.01;56.00;0.00;0.49;0.00;1.04;0.02;;44.40;7.35;444.00;9.09;0.43;221.00;31.20;5.84;266.00;0.00;0.00;8.90;0.10;74.80;1.51;1.51;0.20;0.00;0.00;0.00;0.69;0.98;0.00;0.00
